link_car,sub_title,location
https://www.otomoto.pl/oferta/audi-a6-audi-a6-3-0-quttro-s-line-alu-19-super-stan-ID6ATRPJ.html#4b96ca4051,AUDI A6 3.0 QUTTRO S Line alu 19 Super stan!!,"Nowy Dwór Gdański, nowodworski, Pomorskie"
https://www.otomoto.pl/oferta/bmw-seria-3-bezwypadkowa-z-niemiec-zobacz-ID6Bv2OW.html#4b96ca4051,Bezwypadkowa ! Z Niemiec ! Zobacz !,"Strumiany 8 - 62-025 Kostrzyn, poznański, Wielkopolskie (Polska)"
https://www.otomoto.pl/oferta/citroen-c5-navigacja-gps-ID6zEaKb.html#4b96ca4051,"navigacja, gps","Zator, oświęcimski, Małopolskie"
https://www.otomoto.pl/oferta/bmw-seria-5-bmw-seria-5-e60-2-5d-ID6BA0yE.html#4b96ca4051,"Bmw seria 5 E60 2,5d","Warszawa, Mazowieckie, Ursynów"
https://www.otomoto.pl/oferta/hyundai-tucson-1-6-crdi-136-km-7dct-2wd-style-felga-19-okazja-rabat-ID6BzmKF.html#4b96ca4051,"1.6 CRDi 136 KM 7DCT 2WD 'Style' + Felga 19"" | Okazja! RABAT!","Aleje Jerozolimskie - 00-001 Warszawa, Śródmieście (Polska)"
https://www.otomoto.pl/oferta/bmw-x1-1-wlasciciel-w-kraju-bezwypadkowy-ogloszenie-prywatne-ID6BzmE2.html#4b96ca4051,"1 właściciel w kraju, bezwypadkowy, ogłoszenie prywatne","Gryfino, gryfiński, Zachodniopomorskie"
https://www.otomoto.pl/oferta/audi-a6-audi-a6-c6-wersja-exclusive-super-opcja-ID6AVllD.html#4b96ca4051,Audi A6 C6 Wersja EXCLUSIVE Super Opcja!!,"Nowy Dwór Gdański, nowodworski, Pomorskie"
https://www.otomoto.pl/oferta/skoda-octavia-2-0tdi-150km-model-2015-ambition-amazing-salon-pl-serwis-aso-fv23-ID6BxBPb.html#4b96ca4051,2.0TDI/150KM/model 2015/Ambition/Amazing/salon PL/serwis ASO/FV23%,"WERNERA 59 - 26-601 Radom, Mazowieckie (Polska)"
https://www.otomoto.pl/oferta/skoda-octavia-ekonomiczne-rodzinne-auto-pl-salon-aso-f-23-bezwypadkowy-ID6BzmM0.html#4b96ca4051,"Ekonomiczne, rodzinne auto. PL Salon. ASO. F 23% Bezwypadkowy","Gdańsk, Pomorskie, Aniołki"
https://www.otomoto.pl/oferta/ford-focus-ID6BzmLK.html#4b96ca4051,,"Poznań, Wielkopolskie, Wilda"
https://www.otomoto.pl/oferta/toyota-avensis-toyota-avensis-full-opcja-skory-xenon-navi-mega-opcja-ID6AVla6.html#4b96ca4051,Toyota Avensis FULL Opcja!! Skóry xenon Navi!! Mega Opcja!!,"Nowy Dwór Gdański, nowodworski, Pomorskie"
