phone,price,sub_title,km,marque,location,capacite,annee,link_car,modele
572,20 900,*Piękna Audi. A4 B7 .2.0Tdi 140 Km. Xenony *,185 587 km,Audi,"Elbląg, Warmińsko-mazurskie",1 968 cm3,2006,https://www.otomoto.pl/oferta/audi-a4-piekna-audi-a4-b7-2-0tdi-140-km-xenony-ID6BA1t9.html#4b96ca4051,A4
607,92 900,Variant Comfortline 1.5 TSI 130 KM Wyprzedaż rocznika Plichta !,1 km,Volkswagen,"LUBOWIDZKA 42 - 80-174 Gdańsk, Jasień (Polska)",1 498 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-golf-variant-comfortline-1-5-tsi-130-km-wyprzedaz-rocznika-plichta-ID6BA1to.html#4b96ca4051,Golf
177,24 499,1.6 TDI Active Max!Polski Salon ! Gwarancja Przebiegu !#WD0736K,186 840 km,Škoda,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",1 600 cm3,2015,https://www.otomoto.pl/oferta/skoda-rapid-1-6-tdi-active-max-polski-salon-gwarancja-przebiegu-wd0736k-ID6AExlp.html#4b96ca4051,RAPID
177,43 600,1.6 TDI Trendline ! Polski Salon ! Gwarancja Przebiegu !Fvat !#DW292XG,91 478 km,Volkswagen,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",1 600 cm3,2014,https://www.otomoto.pl/oferta/volkswagen-passat-1-6-tdi-trendline-polski-salon-gwarancja-przebiegu-fvat-dw292xg-ID6zaJiv.html#4b96ca4051,Passat
177,29 999,1.1 CRDi Classic Plus !Polski Salon!Gwarancja Przebiegu!F vat!PO2P542,60 160 km,Hyundai,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",1 100 cm3,2015,https://www.otomoto.pl/oferta/hyundai-i20-1-1-crdi-classic-plus-polski-salon-gwarancja-przebiegu-f-vat-po2p542-ID6zaRxE.html#4b96ca4051,i20
221,37 900,"1,6 MPI, automatyczna klimatyzacja, historia serwisowa",67 643 km,Nissan,"Jagiellońska 88B - 03-215 Warszawa, Praga-Północ (Polska)",1 598 cm3,2010,https://www.otomoto.pl/oferta/nissan-juke-1-6-mpi-automatyczna-klimatyzacja-historia-serwisowa-ID6BtIYe.html#4b96ca4051,Juke
177,36 999,2.0 CDTI Edition ! Polski Salon ! Gwarancja Przebiegu ! F vat !,141 656 km,Opel,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",2 000 cm3,2013,https://www.otomoto.pl/oferta/opel-insignia-2-0-cdti-edition-polski-salon-gwarancja-przebiegu-f-vat-ID6yPEej.html#4b96ca4051,Insignia
177,68 899,1.7 CRDi Comfort DCT! Polski Salon!Gwarancja Przebiegu!F vat !#SK081HU,41 741 km,Hyundai,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",1 700 cm3,2015,https://www.otomoto.pl/oferta/hyundai-i40-1-7-crdi-comfort-dct-polski-salon-gwarancja-przebiegu-f-vat-sk081hu-ID6ByHHC.html#4b96ca4051,i40
503,33 800,,231 000 km,BMW,"Radom, Mazowieckie",1 995 cm3,2008,https://www.otomoto.pl/oferta/bmw-seria-1-ID6BqaNf.html#4b96ca4051,Seria 1
177,69 999,1.7 CRDI BlueDrive Comfort! Polski Salon!Gwarancja Przebiegu !#CB611EW,29 079 km,Hyundai,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",1 700 cm3,2015,https://www.otomoto.pl/oferta/hyundai-tucson-1-7-crdi-bluedrive-comfort-polski-salon-gwarancja-przebiegu-cb611ew-ID6Brnsk.html#4b96ca4051,Tucson
604,26 999,BOSE 7 os PRYWATNIE Panorama Navi Kamera Półskóra,185 000 km,Renault,"Siedlce, Mazowieckie",1 500 cm3,2011,https://www.otomoto.pl/oferta/renault-grand-scenic-bose-7-os-prywatnie-panorama-navi-kamera-polskora-ID6Brk6R.html#4b96ca4051,Grand Scenic
799,132 000,FL 2.0 TSI 245KM DSG GTI Performance DCC DEMO Wyprzedaż Rocznika w ASO,1 500 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",1 984 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-golf-fl-2-0-tsi-245km-dsg-gti-performance-dcc-demo-wyprzedaz-rocznika-w-aso-ID6ABPo6.html#4b96ca4051,Golf
515,56 900,Coupe Najnowszy model 2.4i 185KM Unikat,53 300 km,Honda,"Wągrowiec, wągrowiecki, Wielkopolskie",2 400 cm3,2016,https://www.otomoto.pl/oferta/honda-accord-coupe-najnowszy-model-2-4i-185km-unikat-ID6Axr5Q.html#4b96ca4051,Accord
694,24 500,"Prywatny, Sport pakiet, Panorama, Skóra,Hak + komplet zimówek,",330 000 km,BMW,"Grodzisk Mazowiecki, grodziski, Mazowieckie",3 000 cm3,2004,https://www.otomoto.pl/oferta/bmw-x3-prywatny-sport-pakiet-panorama-skora-hak-komplet-zimowek-ID6Bu5RR.html#4b96ca4051,X3
502,79 900,2.0 TDI 190 S LINE Black Edition ROTOR LED Xenon MMI Navi Skóra S Line,142 100 km,Audi,"KRAKOWSKA 84 - 32-065 Nawojowa Góra, krakowski, Małopolskie (Polska)",2 000 cm3,2015,https://www.otomoto.pl/oferta/audi-a4-2-0-tdi-190-s-line-black-edition-rotor-led-xenon-mmi-navi-skora-s-line-ID6BznZW.html#4b96ca4051,A4
604,72 000,"AAA Absurdalnie Szybki, Absurdalnie Wygodny, Absurdalnie Męski",154 176 km,Audi,"Warszawa, Mazowieckie, Targówek",3 000 cm3,2010,https://www.otomoto.pl/oferta/audi-s4-aaa-absurdalnie-szybki-absurdalnie-wygodny-absurdalnie-meski-ID6BwgEc.html#4b96ca4051,S4
501,11 900,,117 000 km,Fiat,"16 - 98-338 Kleszczów, bełchatowski, Łódzkie (Polska)",1 242 cm3,2008,https://www.otomoto.pl/oferta/fiat-grande-punto-ID6ByYX4.html#4b96ca4051,Grande Punto
177,54 499,2.0 TDI Comfortline DSG! Polski Salon!!Gwarancja Serwisu!#WD1230F,179 075 km,Volkswagen,"Kraczkowa 1440 - 37-124 Kraczkowa, łańcucki, Podkarpackie (Polska)",2 000 cm3,2014,https://www.otomoto.pl/oferta/volkswagen-passat-2-0-tdi-comfortline-dsg-polski-salon-gwarancja-serwisu-wd1230f-ID6BsgFF.html#4b96ca4051,Passat
799,109 350,FL 1.6 TDI 115 KM DSG Highline R-Line Kamera Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",1 598 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-golf-fl-1-6-tdi-115-km-dsg-highline-r-line-kamera-wyprzedaz-rocznika-w-aso-ID6ACp8e.html#4b96ca4051,Golf
696,22 999,1.6 120 PS ! Lifting ! Z Niemiec ! Bezwypadkowe !,173 000 km,Citroën,"Strumiany 8 - 62-025 Kostrzyn, poznański, Wielkopolskie (Polska)",1 600 cm3,2011,https://www.otomoto.pl/oferta/citroen-c4-picasso-1-6-120-ps-lifting-z-niemiec-bezwypadkowe-ID6Bv9k1.html#4b96ca4051,C4 Picasso
