phone,price,title,sub_title,km,marque,location,capacite,annee,link_car,modele
607,9 999,Peugeot 307 II,Benzyna! Bezwypadkowy! Serwisowany! 2007!,219 000 km,Peugeot,"Będzin, będziński, Śląskie, Śródmieście",1 587 cm3,2007,https://www.otomoto.pl/oferta/peugeot-307-benzyna-bezwypadkowy-serwisowany-2007-ID6BzPMa.html#4b96ca4051,307
502,34 000,Škoda Octavia II,,156 000 km,Škoda,"Warzymice, policki, Zachodniopomorskie",1 598 cm3,2011,https://www.otomoto.pl/oferta/skoda-octavia-ID6z2zUB.html#4b96ca4051,Octavia
503,21 500,Kia Ceed I,"Super stan, serwisowany, lift,klimatyzacja 5 drzwi",192 000 km,Kia,"Nowokarsiborska 5 - 72-600 Świnoujście, Zachodniopomorskie (Polska)",1 582 cm3,2010,https://www.otomoto.pl/oferta/kia-ceed-super-stan-serwisowany-lift-klimatyzacja-5-drzwi-ID6BA3dI.html#4b96ca4051,Ceed
601,24 900,Volkswagen Polo V,"Gwarancja VIP Gwarant, 12/2013r, 93tys.km ks.serwis,Klimatronic",93 400 km,Volkswagen,"Jagienki 32 - 42-226 Częstochowa, Śródmieście (Polska)",1 198 cm3,2013,https://www.otomoto.pl/oferta/volkswagen-polo-gwarancja-vip-gwarant-12-2013r-93tys-km-ks-serwis-klimatronic-ID6Bz12t.html#4b96ca4051,Polo
606,34 900,Volkswagen Tiguan I,Volkswagen Tiguan Salon Polska 4x4 Motion Panorama,230 000 km,Volkswagen,"Ropczyce, ropczycko-sędziszowski, Podkarpackie",1 968 cm3,2009,https://www.otomoto.pl/oferta/volkswagen-tiguan-volkswagen-tiguan-salon-polska-4x4-motion-panorama-ID6Bxcq1.html#4b96ca4051,Tiguan
500,23 500,Honda Civic VIII,1.8 i VTEC 140 KM 100 000 km,100 170 km,Honda,"Ustronie Morskie, kołobrzeski, Zachodniopomorskie",1 799 cm3,2007,https://www.otomoto.pl/oferta/honda-civic-1-8-i-vtec-140-km-100-000-km-ID6Bz10K.html#4b96ca4051,Civic
+48,295 000,BMW Seria 5 G30,BMW serii 5 Limuzyna M550i xDrive,12 000 km,BMW,"Dołuje, policki, Zachodniopomorskie",4 395 cm3,2017,https://www.otomoto.pl/oferta/bmw-seria-5-bmw-serii-5-limuzyna-m550i-xdrive-ID6BA39o.html#4b96ca4051,Seria 5
426,164 500,Volkswagen Passat B8,"Lim. High. 2.0TDI R Line 4MOTION 190KM DSG, Wyprzedaż Rocznika w ASO",1 km,Volkswagen,"Niciarniana 51/53 - 92-320 Łódź, Łódzkie (Polska)",1 968 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-passat-lim-high-2-0tdi-r-line-4motion-190km-dsg-wyprzedaz-rocznika-w-aso-ID6AzLnf.html#4b96ca4051,Passat
+48,25 900,Volkswagen Golf VI,"GOLF VI 1.4 80KM 5 DRZWI ALU16 2xParktronik Klimatronik GWARANCJA, ASO",198 000 km,Volkswagen,"Czarny Dwór 2 - 80-365 Gdańsk, Pomorskie (Polska)",1 390 cm3,2009,https://www.otomoto.pl/oferta/volkswagen-golf-golf-vi-1-4-80km-5-drzwi-alu16-2xparktronik-klimatronik-gwarancja-aso-ID6AAx9F.html#4b96ca4051,Golf
717,138 150,Peugeot 3008 II,1.2 PureTech 130KM 'ALLURE' Panorama|Kamery|FOCAL|Opcje|RABAT!!!,1 km,Peugeot,"Strzegomska - 53-413 Wrocław, Śródmieście (Polska)",1 199 cm3,2018,https://www.otomoto.pl/oferta/peugeot-3008-1-2-puretech-130km-allure-panorama-kamery-focal-opcje-rabat-ID6Bw1h5.html#4b96ca4051,3008
